point_id,cluster_id,borough
4357.0,0,Brooklyn
4358.0,0,Brooklyn
4101.0,0,Brooklyn
2056.0,0,Brooklyn
2057.0,0,Brooklyn
2058.0,0,Brooklyn
2059.0,0,Brooklyn
2060.0,0,Brooklyn
2061.0,0,Brooklyn
2062.0,0,Brooklyn
2063.0,0,Brooklyn
2064.0,0,Brooklyn
2065.0,0,Brooklyn
2066.0,0,Brooklyn
2067.0,0,Brooklyn
2068.0,0,Brooklyn
2069.0,0,Brooklyn
2070.0,0,Brooklyn
2071.0,0,Brooklyn
2072.0,0,Brooklyn
2073.0,0,Brooklyn
2074.0,0,Brooklyn
2075.0,0,Brooklyn
2076.0,0,Brooklyn
2077.0,0,Brooklyn
4126.0,0,Brooklyn
4125.0,0,Brooklyn
2078.0,0,Brooklyn
2079.0,0,Brooklyn
4130.0,0,
4131.0,0,Brooklyn
4132.0,0,Brooklyn
2080.0,0,Queens
4134.0,0,Queens
2081.0,0,Queens
4135.0,0,Queens
4136.0,0,Queens
554.0,0,Brooklyn
4360.0,0,
4124.0,0,Brooklyn
4428.0,0,Brooklyn
4429.0,0,Brooklyn
4430.0,0,Queens
3730.0,0,
3731.0,0,Brooklyn
3413.0,0,Brooklyn
3732.0,0,Brooklyn
3733.0,0,Brooklyn
2055.0,0,Brooklyn
971.0,1,Brooklyn
1461.0,1,Brooklyn
9.0,2,Brooklyn
612.0,2,Brooklyn
2663.0,2,Brooklyn
4354.0,3,Queens
8.0,4,Brooklyn
11.0,4,Bronx
47.0,4,Brooklyn
59.0,4,Manhattan
60.0,4,Manhattan
61.0,4,Bronx
62.0,4,Bronx
63.0,4,Bronx
64.0,4,Bronx
65.0,4,Bronx
293.0,4,Brooklyn
294.0,4,Brooklyn
295.0,4,Brooklyn
296.0,4,Brooklyn
297.0,4,Brooklyn
298.0,4,Brooklyn
299.0,4,Brooklyn
300.0,4,Brooklyn
301.0,4,Brooklyn
302.0,4,Brooklyn
303.0,4,Brooklyn
304.0,4,Brooklyn
305.0,4,Brooklyn
306.0,4,Brooklyn
307.0,4,Brooklyn
308.0,4,Brooklyn
309.0,4,Brooklyn
310.0,4,Brooklyn
311.0,4,Brooklyn
312.0,4,Brooklyn
313.0,4,Brooklyn
314.0,4,Brooklyn
315.0,4,Brooklyn
316.0,4,Brooklyn
317.0,4,Brooklyn
318.0,4,Brooklyn
319.0,4,Brooklyn
320.0,4,Brooklyn
321.0,4,Brooklyn
322.0,4,Brooklyn
323.0,4,Brooklyn
324.0,4,Brooklyn
325.0,4,Brooklyn
326.0,4,Brooklyn
327.0,4,Brooklyn
328.0,4,Brooklyn
329.0,4,Brooklyn
330.0,4,Brooklyn
331.0,4,Brooklyn
332.0,4,Brooklyn
333.0,4,Brooklyn
334.0,4,Brooklyn
335.0,4,Brooklyn
336.0,4,Brooklyn
337.0,4,Brooklyn
338.0,4,Brooklyn
339.0,4,Brooklyn
340.0,4,Brooklyn
341.0,4,Brooklyn
342.0,4,Brooklyn
343.0,4,Brooklyn
344.0,4,Brooklyn
345.0,4,Brooklyn
346.0,4,Brooklyn
347.0,4,Brooklyn
348.0,4,Brooklyn
349.0,4,Brooklyn
350.0,4,Brooklyn
351.0,4,Brooklyn
352.0,4,Brooklyn
353.0,4,Brooklyn
354.0,4,Brooklyn
355.0,4,Brooklyn
356.0,4,Brooklyn
357.0,4,Brooklyn
358.0,4,Brooklyn
359.0,4,Brooklyn
364.0,4,Brooklyn
368.0,4,Bronx
372.0,4,
381.0,4,Brooklyn
382.0,4,Brooklyn
385.0,4,Queens
386.0,4,Manhattan
387.0,4,Manhattan
388.0,4,Brooklyn
389.0,4,Brooklyn
390.0,4,Brooklyn
391.0,4,Bronx
396.0,4,Manhattan
397.0,4,Manhattan
398.0,4,Manhattan
399.0,4,Manhattan
400.0,4,Manhattan
475.0,4,Brooklyn
476.0,4,Brooklyn
478.0,4,Bronx
479.0,4,Bronx
483.0,4,Brooklyn
501.0,4,Brooklyn
502.0,4,Brooklyn
505.0,4,Bronx
508.0,4,Brooklyn
509.0,4,Brooklyn
510.0,4,Brooklyn
518.0,4,Bronx
519.0,4,Brooklyn
520.0,4,Brooklyn
521.0,4,Brooklyn
524.0,4,Brooklyn
545.0,4,Brooklyn
546.0,4,Bronx
547.0,4,Bronx
548.0,4,Bronx
549.0,4,Bronx
550.0,4,Brooklyn
551.0,4,Brooklyn
555.0,4,Brooklyn
556.0,4,Brooklyn
557.0,4,Manhattan
558.0,4,Manhattan
560.0,4,Manhattan
563.0,4,Brooklyn
564.0,4,Brooklyn
565.0,4,Brooklyn
566.0,4,Brooklyn
567.0,4,Brooklyn
568.0,4,Brooklyn
569.0,4,Brooklyn
570.0,4,Brooklyn
571.0,4,Brooklyn
572.0,4,Brooklyn
578.0,4,Brooklyn
579.0,4,Brooklyn
582.0,4,Manhattan
589.0,4,Brooklyn
590.0,4,Brooklyn
591.0,4,Brooklyn
595.0,4,Manhattan
598.0,4,Bronx
600.0,4,Brooklyn
601.0,4,Brooklyn
613.0,4,Brooklyn
614.0,4,Bronx
618.0,4,Brooklyn
619.0,4,Brooklyn
623.0,4,Brooklyn
625.0,4,Manhattan
626.0,4,Bronx
631.0,4,Brooklyn
641.0,4,Bronx
645.0,4,Bronx
646.0,4,Bronx
647.0,4,Bronx
648.0,4,Bronx
649.0,4,Bronx
650.0,4,Bronx
652.0,4,Bronx
653.0,4,Brooklyn
657.0,4,Bronx
658.0,4,Bronx
659.0,4,Bronx
660.0,4,Manhattan
665.0,4,Manhattan
666.0,4,Manhattan
667.0,4,Manhattan
668.0,4,Manhattan
669.0,4,Manhattan
670.0,4,Manhattan
671.0,4,Manhattan
672.0,4,Manhattan
673.0,4,Manhattan
674.0,4,Manhattan
675.0,4,Manhattan
676.0,4,Manhattan
677.0,4,Manhattan
678.0,4,Manhattan
679.0,4,Manhattan
680.0,4,Manhattan
681.0,4,Manhattan
682.0,4,Manhattan
683.0,4,Manhattan
684.0,4,Manhattan
685.0,4,Manhattan
686.0,4,Manhattan
687.0,4,Manhattan
688.0,4,Manhattan
689.0,4,Manhattan
690.0,4,Manhattan
691.0,4,Manhattan
692.0,4,Manhattan
693.0,4,Manhattan
694.0,4,Manhattan
695.0,4,Manhattan
696.0,4,Manhattan
697.0,4,Manhattan
698.0,4,Manhattan
699.0,4,Manhattan
700.0,4,Manhattan
701.0,4,Manhattan
702.0,4,Manhattan
703.0,4,Manhattan
704.0,4,Manhattan
705.0,4,Manhattan
706.0,4,Manhattan
710.0,4,Brooklyn
711.0,4,Brooklyn
714.0,4,Brooklyn
717.0,4,Brooklyn
721.0,4,Brooklyn
725.0,4,Brooklyn
727.0,4,Brooklyn
731.0,4,Brooklyn
732.0,4,Manhattan
733.0,4,Bronx
734.0,4,Manhattan
738.0,4,Bronx
739.0,4,Bronx
748.0,4,Queens
750.0,4,Manhattan
751.0,4,Manhattan
752.0,4,Manhattan
758.0,4,Bronx
759.0,4,Bronx
760.0,4,Bronx
764.0,4,Brooklyn
765.0,4,Brooklyn
768.0,4,Bronx
769.0,4,Bronx
770.0,4,Bronx
775.0,4,Bronx
776.0,4,Bronx
780.0,4,Bronx
781.0,4,Bronx
782.0,4,Bronx
783.0,4,Bronx
784.0,4,Bronx
854.0,4,Bronx
855.0,4,Bronx
856.0,4,Bronx
866.0,4,Bronx
867.0,4,Bronx
868.0,4,Manhattan
869.0,4,Bronx
870.0,4,Manhattan
871.0,4,Bronx
872.0,4,Bronx
873.0,4,Bronx
910.0,4,Bronx
913.0,4,Bronx
914.0,4,Bronx
915.0,4,Bronx
916.0,4,Bronx
917.0,4,Bronx
918.0,4,Bronx
920.0,4,Bronx
921.0,4,Bronx
923.0,4,Bronx
929.0,4,Bronx
930.0,4,Bronx
932.0,4,Bronx
933.0,4,Brooklyn
934.0,4,Brooklyn
936.0,4,Manhattan
937.0,4,Brooklyn
941.0,4,Brooklyn
943.0,4,Brooklyn
944.0,4,Brooklyn
948.0,4,Manhattan
950.0,4,Brooklyn
951.0,4,Bronx
952.0,4,Brooklyn
955.0,4,Brooklyn
957.0,4,Bronx
959.0,4,Brooklyn
962.0,4,Queens
970.0,4,Bronx
979.0,4,Brooklyn
990.0,4,Bronx
992.0,4,Bronx
993.0,4,Queens
994.0,4,Brooklyn
1004.0,4,Bronx
1009.0,4,Brooklyn
1010.0,4,Bronx
1011.0,4,Bronx
1017.0,4,Brooklyn
1018.0,4,Bronx
1020.0,4,Brooklyn
1021.0,4,Brooklyn
1022.0,4,Brooklyn
1023.0,4,Brooklyn
1024.0,4,Brooklyn
1025.0,4,Brooklyn
1026.0,4,Brooklyn
1027.0,4,Brooklyn
1028.0,4,Brooklyn
1029.0,4,Brooklyn
1030.0,4,Brooklyn
1031.0,4,Brooklyn
1032.0,4,Brooklyn
1033.0,4,Brooklyn
1035.0,4,Brooklyn
1036.0,4,Brooklyn
1037.0,4,Brooklyn
1040.0,4,Brooklyn
1041.0,4,Brooklyn
1042.0,4,Brooklyn
1044.0,4,Bronx
1045.0,4,Brooklyn
1049.0,4,Brooklyn
1063.0,4,Manhattan
1065.0,4,Manhattan
1067.0,4,Manhattan
1068.0,4,Manhattan
1069.0,4,Manhattan
1070.0,4,Manhattan
1071.0,4,Manhattan
1072.0,4,Manhattan
1073.0,4,Manhattan
1074.0,4,Manhattan
1075.0,4,Manhattan
1076.0,4,Manhattan
1077.0,4,Manhattan
1078.0,4,Manhattan
1080.0,4,Bronx
1082.0,4,Bronx
1093.0,4,Bronx
1094.0,4,Bronx
1095.0,4,Bronx
1096.0,4,Bronx
1097.0,4,Manhattan
1098.0,4,Bronx
1099.0,4,Manhattan
1102.0,4,Manhattan
1104.0,4,Manhattan
1107.0,4,Bronx
1109.0,4,Brooklyn
1112.0,4,Bronx
1116.0,4,Brooklyn
1118.0,4,Manhattan
1119.0,4,Manhattan
1120.0,4,Manhattan
1121.0,4,Manhattan
1122.0,4,Manhattan
1123.0,4,Manhattan
1124.0,4,Manhattan
1125.0,4,Manhattan
1126.0,4,Manhattan
1127.0,4,Manhattan
1128.0,4,Manhattan
1129.0,4,Manhattan
1130.0,4,Manhattan
1131.0,4,Manhattan
1132.0,4,Manhattan
1133.0,4,Manhattan
1134.0,4,Manhattan
1135.0,4,Manhattan
1136.0,4,Manhattan
1137.0,4,Manhattan
1138.0,4,Manhattan
1139.0,4,Manhattan
1140.0,4,Manhattan
1141.0,4,Manhattan
1143.0,4,Bronx
1144.0,4,Bronx
1147.0,4,Manhattan
1148.0,4,Brooklyn
1150.0,4,Brooklyn
1151.0,4,Brooklyn
1152.0,4,Brooklyn
1153.0,4,Bronx
1158.0,4,Brooklyn
1159.0,4,Manhattan
1160.0,4,Manhattan
1162.0,4,Manhattan
1167.0,4,Queens
1168.0,4,Brooklyn
1180.0,4,Manhattan
1181.0,4,Manhattan
1187.0,4,Brooklyn
1188.0,4,Brooklyn
1189.0,4,Brooklyn
1190.0,4,Brooklyn
1191.0,4,Bronx
1192.0,4,Bronx
1193.0,4,Bronx
1194.0,4,Bronx
1195.0,4,Bronx
1196.0,4,Bronx
1197.0,4,Bronx
1198.0,4,Bronx
1199.0,4,Bronx
1200.0,4,Bronx
1201.0,4,Bronx
1215.0,4,Brooklyn
1216.0,4,Brooklyn
1217.0,4,Brooklyn
1218.0,4,Brooklyn
1219.0,4,Brooklyn
1220.0,4,Brooklyn
1221.0,4,Brooklyn
1222.0,4,Brooklyn
1223.0,4,Brooklyn
1224.0,4,Brooklyn
1225.0,4,Brooklyn
1226.0,4,Brooklyn
1227.0,4,Brooklyn
1228.0,4,Brooklyn
1229.0,4,Brooklyn
1230.0,4,Brooklyn
1231.0,4,Brooklyn
1232.0,4,Brooklyn
1233.0,4,Brooklyn
1262.0,4,Brooklyn
1264.0,4,Manhattan
1265.0,4,Manhattan
1267.0,4,Manhattan
1273.0,4,Brooklyn
1278.0,4,Bronx
1279.0,4,Bronx
1280.0,4,Bronx
1285.0,4,Bronx
1286.0,4,Manhattan
1287.0,4,Brooklyn
1304.0,4,Bronx
1307.0,4,Brooklyn
1356.0,4,Brooklyn
1359.0,4,Brooklyn
1365.0,4,Manhattan
1366.0,4,Brooklyn
1369.0,4,Brooklyn
1410.0,4,Manhattan
1413.0,4,Bronx
1414.0,4,Bronx
1415.0,4,Bronx
1416.0,4,Brooklyn
1417.0,4,Bronx
1418.0,4,Bronx
1421.0,4,Bronx
1425.0,4,Bronx
1429.0,4,Queens
1462.0,4,Bronx
1468.0,4,Bronx
1471.0,4,Manhattan
1477.0,4,Bronx
1478.0,4,Brooklyn
1525.0,4,Brooklyn
1527.0,4,Brooklyn
1529.0,4,Brooklyn
1530.0,4,Brooklyn
1541.0,4,Brooklyn
1543.0,4,Bronx
1547.0,4,Brooklyn
1550.0,4,Brooklyn
1554.0,4,Manhattan
1555.0,4,Brooklyn
1562.0,4,Brooklyn
1563.0,4,Brooklyn
1571.0,4,Brooklyn
1572.0,4,Bronx
1573.0,4,Bronx
1575.0,4,Brooklyn
1578.0,4,Manhattan
1580.0,4,Manhattan
1586.0,4,Brooklyn
1603.0,4,Manhattan
1604.0,4,Manhattan
1605.0,4,Brooklyn
1609.0,4,Brooklyn
1613.0,4,Manhattan
1615.0,4,Manhattan
1616.0,4,Brooklyn
1618.0,4,Bronx
1621.0,4,Brooklyn
1627.0,4,Bronx
1630.0,4,Manhattan
1631.0,4,Manhattan
1634.0,4,Brooklyn
1635.0,4,Brooklyn
1637.0,4,Bronx
1638.0,4,Bronx
1646.0,4,Manhattan
1647.0,4,Bronx
1648.0,4,Bronx
1649.0,4,Bronx
1650.0,4,Bronx
1651.0,4,Bronx
1652.0,4,Manhattan
1655.0,4,Bronx
1656.0,4,Bronx
1657.0,4,Bronx
1658.0,4,Bronx
1659.0,4,Bronx
1660.0,4,Bronx
1661.0,4,Bronx
1662.0,4,Bronx
1663.0,4,Bronx
1664.0,4,Brooklyn
1666.0,4,Bronx
1667.0,4,Manhattan
1668.0,4,Manhattan
1669.0,4,Manhattan
1670.0,4,Bronx
1671.0,4,Bronx
1678.0,4,Manhattan
1679.0,4,Bronx
1681.0,4,Brooklyn
1682.0,4,Brooklyn
1683.0,4,Brooklyn
1685.0,4,Manhattan
1686.0,4,Manhattan
1688.0,4,Manhattan
1689.0,4,Manhattan
1691.0,4,Manhattan
1694.0,4,Brooklyn
1696.0,4,Bronx
1697.0,4,Brooklyn
1698.0,4,Brooklyn
1705.0,4,Brooklyn
1706.0,4,Manhattan
1707.0,4,Manhattan
1708.0,4,Brooklyn
1712.0,4,Manhattan
1714.0,4,Brooklyn
1715.0,4,Brooklyn
1716.0,4,Manhattan
1718.0,4,Manhattan
1732.0,4,Brooklyn
1733.0,4,Brooklyn
1734.0,4,Brooklyn
1735.0,4,Brooklyn
1736.0,4,Brooklyn
1737.0,4,Brooklyn
1739.0,4,Brooklyn
1740.0,4,Brooklyn
1744.0,4,Brooklyn
1745.0,4,Brooklyn
1746.0,4,Bronx
1748.0,4,Brooklyn
1749.0,4,Brooklyn
1752.0,4,Brooklyn
1753.0,4,Brooklyn
1758.0,4,Brooklyn
1760.0,4,Brooklyn
1761.0,4,Brooklyn
1762.0,4,Brooklyn
1771.0,4,Brooklyn
1773.0,4,Brooklyn
1775.0,4,Brooklyn
1777.0,4,Bronx
1778.0,4,Bronx
1779.0,4,Bronx
1780.0,4,Bronx
1781.0,4,Bronx
1782.0,4,Bronx
1783.0,4,Bronx
1784.0,4,Bronx
1785.0,4,Bronx
1786.0,4,Bronx
1787.0,4,Bronx
1788.0,4,Bronx
1789.0,4,Bronx
1790.0,4,Bronx
1791.0,4,Bronx
1792.0,4,Bronx
1793.0,4,Bronx
1794.0,4,Bronx
1795.0,4,Bronx
1796.0,4,Bronx
1797.0,4,Bronx
1798.0,4,Bronx
1799.0,4,Bronx
1800.0,4,Bronx
1801.0,4,Bronx
1802.0,4,Bronx
1803.0,4,Bronx
1804.0,4,Bronx
1805.0,4,Bronx
1806.0,4,Bronx
1807.0,4,Bronx
1808.0,4,Bronx
1809.0,4,Bronx
1810.0,4,Bronx
1811.0,4,Bronx
1849.0,4,Brooklyn
1851.0,4,Brooklyn
1854.0,4,Brooklyn
1857.0,4,Bronx
1858.0,4,Manhattan
1859.0,4,Bronx
1860.0,4,Bronx
1861.0,4,Bronx
1862.0,4,Bronx
1863.0,4,Bronx
1864.0,4,Bronx
1865.0,4,Bronx
1866.0,4,Bronx
1869.0,4,Manhattan
1873.0,4,Brooklyn
1874.0,4,Manhattan
1875.0,4,Manhattan
1876.0,4,Manhattan
1882.0,4,Manhattan
1890.0,4,Manhattan
1892.0,4,Manhattan
1895.0,4,Manhattan
1897.0,4,Manhattan
1898.0,4,Manhattan
1900.0,4,Brooklyn
1901.0,4,Bronx
1902.0,4,Bronx
1903.0,4,Manhattan
1904.0,4,Brooklyn
1905.0,4,Brooklyn
1912.0,4,Brooklyn
1913.0,4,Brooklyn
1914.0,4,Brooklyn
1917.0,4,Bronx
1918.0,4,Manhattan
1919.0,4,Bronx
1920.0,4,Bronx
1922.0,4,Bronx
1924.0,4,Bronx
1925.0,4,Bronx
1926.0,4,Bronx
1927.0,4,Manhattan
1928.0,4,Manhattan
1929.0,4,Manhattan
1930.0,4,Bronx
