borough,total_intersections,mean_per_path,se_per_path,std_per_path,n_paths
Staten Island,18841,0.2536620173407292,0.0068223892830371075,1.8593482965636794,74276
Manhattan,312953,4.213379826592709,0.04453679770192072,12.137891214645464,74276
Bronx,111705,1.5039178200226184,0.019288606382352885,5.256844183501289,74276
Brooklyn,443562,5.9718078517960045,0.10085463845994168,27.486543561401515,74276
Queens,110246,1.4842748667133394,0.022839562789860168,6.224608477439577,74276
