point_id,cluster_id,borough
1.0,0,Queens
2.0,0,Queens
3.0,0,Queens
4.0,0,Queens
5.0,0,Queens
6.0,0,Brooklyn
7.0,0,Brooklyn
8.0,0,Brooklyn
9.0,0,Brooklyn
10.0,0,Brooklyn
2059.0,0,Brooklyn
2060.0,0,Brooklyn
2061.0,0,Brooklyn
2062.0,0,Brooklyn
2063.0,0,Brooklyn
2064.0,0,Brooklyn
2065.0,0,Brooklyn
2066.0,0,Brooklyn
2067.0,0,Brooklyn
2068.0,0,Brooklyn
2069.0,0,Brooklyn
2070.0,0,Brooklyn
2071.0,0,Brooklyn
2072.0,0,Brooklyn
2073.0,0,Brooklyn
2074.0,0,Brooklyn
2075.0,0,Brooklyn
2076.0,0,Brooklyn
2077.0,0,Brooklyn
2078.0,0,Brooklyn
2079.0,0,Brooklyn
2080.0,0,Queens
2081.0,0,Queens
2082.0,0,Queens
2083.0,0,Queens
4132.0,0,Brooklyn
4131.0,0,Brooklyn
4134.0,0,Queens
4135.0,0,Queens
2086.0,0,Queens
2087.0,0,Queens
4130.0,0,
43.0,0,Queens
44.0,0,Queens
4136.0,0,Queens
2085.0,0,Queens
2088.0,0,Queens
554.0,0,Brooklyn
49.0,0,Brooklyn
50.0,0,Brooklyn
2631.0,0,Queens
3664.0,0,Brooklyn
2055.0,0,Brooklyn
2056.0,0,Brooklyn
2057.0,0,Brooklyn
111.0,0,Queens
2058.0,0,Brooklyn
2172.0,0,Queens
3730.0,0,
3731.0,0,Brooklyn
3732.0,0,Brooklyn
3733.0,0,Brooklyn
4101.0,0,Brooklyn
3739.0,0,Brooklyn
3747.0,0,Queens
1223.0,0,Brooklyn
1224.0,0,Brooklyn
1225.0,0,Brooklyn
1226.0,0,Brooklyn
1227.0,0,Brooklyn
1228.0,0,Brooklyn
1229.0,0,Brooklyn
1230.0,0,Brooklyn
1231.0,0,Brooklyn
1232.0,0,Brooklyn
1233.0,0,Brooklyn
2776.0,0,Queens
2779.0,0,Queens
2784.0,0,Queens
2084.0,0,Queens
4350.0,0,
4351.0,0,Queens
4352.0,0,Queens
4353.0,0,Queens
4354.0,0,Queens
4357.0,0,Brooklyn
4358.0,0,Brooklyn
4360.0,0,
4361.0,0,Brooklyn
4124.0,0,Brooklyn
4125.0,0,Brooklyn
4126.0,0,Brooklyn
2848.0,0,Brooklyn
2398.0,0,Brooklyn
4428.0,0,Brooklyn
4429.0,0,Brooklyn
4430.0,0,Queens
2397.0,0,Brooklyn
1373.0,0,Brooklyn
1374.0,0,Brooklyn
1375.0,0,Brooklyn
1376.0,0,Brooklyn
1377.0,0,Brooklyn
1378.0,0,Brooklyn
1379.0,0,Brooklyn
1380.0,0,Brooklyn
1381.0,0,Queens
1382.0,0,Queens
1383.0,0,Queens
1384.0,0,Queens
1385.0,0,Queens
1386.0,0,Queens
1387.0,0,Queens
1388.0,0,Queens
2980.0,0,Brooklyn
3506.0,0,Brooklyn
3507.0,0,Brooklyn
3588.0,1,Bronx
11.0,1,Bronx
3603.0,1,Bronx
3604.0,1,Bronx
615.0,1,Bronx
4147.0,1,Bronx
62.0,1,Bronx
63.0,1,Bronx
67.0,1,Bronx
4163.0,1,Bronx
2137.0,1,Bronx
2138.0,1,Bronx
2139.0,1,Bronx
2140.0,1,Bronx
2141.0,1,Bronx
2142.0,1,Bronx
2143.0,1,Bronx
2144.0,1,Bronx
2145.0,1,Bronx
2146.0,1,Bronx
2147.0,1,Bronx
2148.0,1,Bronx
2149.0,1,Bronx
2150.0,1,Bronx
2151.0,1,Bronx
2152.0,1,Bronx
2153.0,1,Bronx
2154.0,1,Bronx
2155.0,1,Bronx
2156.0,1,Bronx
2157.0,1,Bronx
2158.0,1,Bronx
2159.0,1,Bronx
3184.0,1,Bronx
3185.0,1,Bronx
2160.0,1,Bronx
2161.0,1,Bronx
2162.0,1,
3708.0,1,Bronx
641.0,1,Bronx
2184.0,1,Bronx
2187.0,1,Bronx
2188.0,1,Bronx
2189.0,1,Bronx
2190.0,1,Bronx
2191.0,1,Bronx
2192.0,1,Bronx
2193.0,1,Bronx
2194.0,1,Bronx
2195.0,1,Bronx
2196.0,1,Bronx
2197.0,1,Bronx
2198.0,1,Bronx
2199.0,1,Bronx
2200.0,1,Bronx
2201.0,1,Bronx
2202.0,1,Bronx
2203.0,1,Bronx
2204.0,1,Bronx
2717.0,1,Bronx
2718.0,1,Bronx
2719.0,1,Bronx
2720.0,1,Bronx
2721.0,1,Bronx
2722.0,1,Bronx
2723.0,1,Bronx
2724.0,1,Bronx
2725.0,1,Bronx
2726.0,1,Bronx
2727.0,1,Bronx
2728.0,1,Bronx
2729.0,1,Bronx
2730.0,1,Bronx
2731.0,1,Bronx
2732.0,1,Bronx
2733.0,1,Bronx
2734.0,1,Bronx
3776.0,1,Bronx
3777.0,1,Bronx
3789.0,1,Bronx
3790.0,1,Bronx
3791.0,1,Bronx
3792.0,1,Bronx
3793.0,1,Bronx
3794.0,1,Bronx
3795.0,1,Bronx
3797.0,1,Bronx
3800.0,1,Bronx
3801.0,1,Bronx
3802.0,1,Bronx
3803.0,1,Bronx
3804.0,1,Bronx
3805.0,1,Bronx
3806.0,1,Bronx
3807.0,1,Bronx
3808.0,1,Bronx
3809.0,1,Bronx
1777.0,1,Bronx
1778.0,1,Bronx
1779.0,1,Bronx
1780.0,1,Bronx
1781.0,1,Bronx
1782.0,1,Bronx
1783.0,1,Bronx
1784.0,1,Bronx
1785.0,1,Bronx
1786.0,1,Bronx
1787.0,1,Bronx
1788.0,1,Bronx
1789.0,1,Bronx
1790.0,1,Bronx
1791.0,1,Bronx
1792.0,1,Bronx
1793.0,1,Bronx
1794.0,1,Bronx
1795.0,1,Bronx
1796.0,1,Bronx
1797.0,1,Bronx
1798.0,1,Bronx
1799.0,1,Bronx
1800.0,1,Bronx
1801.0,1,Bronx
1802.0,1,Bronx
1803.0,1,Bronx
1804.0,1,Bronx
1805.0,1,Bronx
1806.0,1,Bronx
1807.0,1,Bronx
1808.0,1,Bronx
1809.0,1,Bronx
1810.0,1,Bronx
1811.0,1,Bronx
1812.0,1,Bronx
1813.0,1,Bronx
1814.0,1,Bronx
1815.0,1,Bronx
1816.0,1,Bronx
1817.0,1,Bronx
1818.0,1,Bronx
1819.0,1,Bronx
1820.0,1,Bronx
1821.0,1,Bronx
1822.0,1,Bronx
1823.0,1,Bronx
1824.0,1,Bronx
1825.0,1,Bronx
1826.0,1,Bronx
1827.0,1,Bronx
1828.0,1,Bronx
1829.0,1,Bronx
1830.0,1,Bronx
1831.0,1,Bronx
1832.0,1,Bronx
1833.0,1,Bronx
1834.0,1,Bronx
1835.0,1,Bronx
1836.0,1,Bronx
1837.0,1,Bronx
1838.0,1,Bronx
1839.0,1,Bronx
1840.0,1,Bronx
1841.0,1,Bronx
1842.0,1,Bronx
1843.0,1,Bronx
1844.0,1,Bronx
1845.0,1,Bronx
1846.0,1,Bronx
1857.0,1,Bronx
3907.0,1,
3908.0,1,Bronx
3909.0,1,Bronx
2813.0,1,Bronx
2814.0,1,Bronx
2815.0,1,Bronx
2388.0,1,Bronx
2205.0,1,Bronx
2816.0,1,Bronx
781.0,1,Bronx
2206.0,1,Bronx
2817.0,1,Bronx
2207.0,1,Bronx
2818.0,1,Bronx
2208.0,1,Bronx
2819.0,1,Bronx
2209.0,1,Bronx
2820.0,1,Bronx
2210.0,1,Bronx
2821.0,1,Bronx
2211.0,1,Bronx
2822.0,1,Bronx
1521.0,1,Bronx
2823.0,1,Bronx
2824.0,1,Bronx
2825.0,1,Bronx
2826.0,1,Bronx
2827.0,1,Bronx
1522.0,1,Bronx
2828.0,1,Bronx
3478.0,1,Bronx
3479.0,1,Bronx
2829.0,1,Bronx
2832.0,1,Bronx
1523.0,1,Bronx
2833.0,1,Bronx
1510.0,1,Bronx
1968.0,1,Bronx
2834.0,1,Bronx
1511.0,1,Bronx
2835.0,1,Bronx
1512.0,1,Bronx
