park_id,park_name,borough,category,medium_vegetation_pixel_count,medium_vegetation_total_area_m2,geometry_area_m2,processing_id,shape_id,point_name,point_id,unique_id,fid,source_id,feature_co,sub_featur,name,status,shape_area,shape_len,fid_2,acquisitio,acres,address,class,communityb,councildis,department,eapply,gisobjid,gispropnum,globalid,jurisdicti,location,mapped,name311,nys_assemb,nys_senate,objectid,omppropid,parentid,permit,permitdist,permitpare,pip_ratabl,precinct,retired,signname,subcategor,typecatego,url,us_congres,waterfront,zipcode,GIS_LOC_ID,UNIT_CODE,GROUP_CODE,UNIT_NAME,UNIT_TYPE,META_MIDF,LANDS_CODE,DATE_EDIT,GIS_NOTES,fid_3,UID,Name_2,Category,Label,Descriptio,Region,County,Source,Original,Updated,Acreage,Total_acre,MID,MasterArea,WebAreaID,created_us,created_da,last_edite,last_edi_1,GlobalID_2,boro_name
10.0,Sailors Snug Harbor Cemetery,Staten Island,medium_vegetation,13,1.0833333333333333,20.038140577159442,10.0_medium_vegetation_Staten Island,21.0,21.0,21.0,10.0,43.0,16250000190.0,2500.0,250000.0,Sailors Snug Harbor Cemetery,Unchanged,274047.393352,2499.99411305,548.0,1943-05-26 00:00:00.0000000,9.200000000000001,,PARK,501.0,49.0,R-01,Allison Pond Park,100004382.0,R052,5F92F2D7-877C-4DB7-A95F-DB61B68D107A,DPR,"Prospect Ave., N Randall Ave. and Brentwood Ave.",True,Allison Pond Park,61.0,23.0,5827.0,R052,R-01,F,R-01,R-01,T,120.0,F,Allison Pond Park,Large Park,Nature Area,http://www.nycgovparks.org/parks/R052/,11.0,F,10301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
10.0,Sailors Snug Harbor Cemetery,Staten Island,medium_vegetation,355,29.583333333333332,938.4885177101552,10.0_medium_vegetation_Staten Island,22.0,22.0,22.0,10.0,43.0,16250000190.0,2500.0,250000.0,Sailors Snug Harbor Cemetery,Unchanged,274047.393352,2499.99411305,548.0,1943-05-26 00:00:00.0000000,9.200000000000001,,PARK,501.0,49.0,R-01,Allison Pond Park,100004382.0,R052,5F92F2D7-877C-4DB7-A95F-DB61B68D107A,DPR,"Prospect Ave., N Randall Ave. and Brentwood Ave.",True,Allison Pond Park,61.0,23.0,5827.0,R052,R-01,F,R-01,R-01,T,120.0,F,Allison Pond Park,Large Park,Nature Area,http://www.nycgovparks.org/parks/R052/,11.0,F,10301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
11.0,Lake Cemetery,Staten Island,medium_vegetation,13,1.0833333333333333,1.7547761255584242,11.0_medium_vegetation_Staten Island,23.0,23.0,23.0,11.0,44.0,16250001057.0,2500.0,250000.0,Lake Cemetery,Unchanged,93833.4150885,1522.77169278,280.0,1947-12-30 00:00:00.0000000,2.836,20 HOUSTON STREET,PARK,501.0,50.0,R-01,Markham Playground,100004986.0,R076,3483912E-D35D-47E7-8BEA-BC0140025A1A,DPR/DOE,"Willowbrook Pkwy., Forest Ave. to Houston St.",True,Markham Playground,61.0,24.0,5065.0,R076,R-01,T,R-01,R-01,T,120.0,F,Markham Playground,JOP,Jointly Operated Playground,http://www.nycgovparks.org/parks/R076/,11.0,F,10302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
11.0,Lake Cemetery,Staten Island,medium_vegetation,220,18.333333333333332,544.0251360939237,11.0_medium_vegetation_Staten Island,24.0,24.0,24.0,11.0,44.0,16250001057.0,2500.0,250000.0,Lake Cemetery,Unchanged,93833.4150885,1522.77169278,280.0,1947-12-30 00:00:00.0000000,2.836,20 HOUSTON STREET,PARK,501.0,50.0,R-01,Markham Playground,100004986.0,R076,3483912E-D35D-47E7-8BEA-BC0140025A1A,DPR/DOE,"Willowbrook Pkwy., Forest Ave. to Houston St.",True,Markham Playground,61.0,24.0,5065.0,R076,R-01,T,R-01,R-01,T,120.0,F,Markham Playground,JOP,Jointly Operated Playground,http://www.nycgovparks.org/parks/R076/,11.0,F,10302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
12.0,St. Andrew's Church Cemetery,Staten Island,medium_vegetation,12,1.0,188.98934233370892,12.0_medium_vegetation_Staten Island,25.0,25.0,25.0,12.0,49.0,17250000011.0,2500.0,250000.0,St. Andrew's Church Cemetery,Unchanged,78182.6304477,1127.80246291,1040.0,1928-07-26 00:00:00.0000000,760.79,1001 RICHMOND HILL ROAD,PARK,502503.0,,R-02,LaTourette Park & Golf Course,100005173.0,R013,ED70220C-95BB-4569-A622-BEA6F2EB5192,DPR,"Forest Hill & London Rds, Rockland Ave",True,LaTourette Park & Golf Course,6263.0,24.0,5051.0,R013,R-02,T,R-02,R-02,F,122.0,F,LaTourette Park & Golf Course,Flagship Park,Flagship Park,http://www.nycgovparks.org/parks/R013/,11.0,F,1030610314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
12.0,St. Andrew's Church Cemetery,Staten Island,medium_vegetation,293,24.416666666666664,1470.2779053187583,12.0_medium_vegetation_Staten Island,26.0,26.0,26.0,12.0,49.0,17250000011.0,2500.0,250000.0,St. Andrew's Church Cemetery,Unchanged,78182.6304477,1127.80246291,1040.0,1928-07-26 00:00:00.0000000,760.79,1001 RICHMOND HILL ROAD,PARK,502503.0,,R-02,LaTourette Park & Golf Course,100005173.0,R013,ED70220C-95BB-4569-A622-BEA6F2EB5192,DPR,"Forest Hill & London Rds, Rockland Ave",True,LaTourette Park & Golf Course,6263.0,24.0,5051.0,R013,R-02,T,R-02,R-02,F,122.0,F,LaTourette Park & Golf Course,Flagship Park,Flagship Park,http://www.nycgovparks.org/parks/R013/,11.0,F,1030610314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
13.0,Moravian Cemetery,Staten Island,medium_vegetation,369,30.75,2038.0193322046036,13.0_medium_vegetation_Staten Island,27.0,27.0,27.0,13.0,56.0,17250000095.0,2500.0,250000.0,Moravian Cemetery,Unchanged,4366470.41626,10568.7666695,1265.0,1965-05-24 00:00:00.0000000,94.1,132 ALTAMONT STREET,PARK,502.0,50.0,R-02,High Rock Park,100004808.0,R088,F92F99BD-A37C-4B40-89DD-0989C91D6F7C,DPR,"Richmond Pkwy., Manor Rd., Summit Ave., Rockland Ave., and Moravian Cemetary",True,High Rock Park,,24.0,69247.0,R088,R-02,F,R-02,R-02,F,122.0,F,High Rock Park,Flagship Park,Nature Area,http://www.nycgovparks.org/parks/R088/,11.0,F,1030410306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
13.0,Moravian Cemetery,Staten Island,medium_vegetation,90,7.5,326.248318771924,13.0_medium_vegetation_Staten Island,28.0,28.0,28.0,13.0,56.0,17250000095.0,2500.0,250000.0,Moravian Cemetery,Unchanged,4366470.41626,10568.7666695,1265.0,1965-05-24 00:00:00.0000000,94.1,132 ALTAMONT STREET,PARK,502.0,50.0,R-02,High Rock Park,100004808.0,R088,F92F99BD-A37C-4B40-89DD-0989C91D6F7C,DPR,"Richmond Pkwy., Manor Rd., Summit Ave., Rockland Ave., and Moravian Cemetary",True,High Rock Park,,24.0,69247.0,R088,R-02,F,R-02,R-02,F,122.0,F,High Rock Park,Flagship Park,Nature Area,http://www.nycgovparks.org/parks/R088/,11.0,F,1030410306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
13.0,Moravian Cemetery,Staten Island,medium_vegetation,44,3.6666666666666665,64.07615853643301,13.0_medium_vegetation_Staten Island,29.0,29.0,29.0,13.0,56.0,17250000095.0,2500.0,250000.0,Moravian Cemetery,Unchanged,4366470.41626,10568.7666695,1265.0,1965-05-24 00:00:00.0000000,94.1,132 ALTAMONT STREET,PARK,502.0,50.0,R-02,High Rock Park,100004808.0,R088,F92F99BD-A37C-4B40-89DD-0989C91D6F7C,DPR,"Richmond Pkwy., Manor Rd., Summit Ave., Rockland Ave., and Moravian Cemetary",True,High Rock Park,,24.0,69247.0,R088,R-02,F,R-02,R-02,F,122.0,F,High Rock Park,Flagship Park,Nature Area,http://www.nycgovparks.org/parks/R088/,11.0,F,1030410306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
49.0,Saint Marys Cemetery,Staten Island,medium_vegetation,8745,728.75,146828.62622713114,49.0_medium_vegetation_Staten Island,70.0,70.0,70.0,49.0,29.0,16250000001.0,2500.0,250000.0,Saint Marys Cemetery,Unchanged,146828.659478,1534.48463211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
