shape_id,borough,total_vegetation_pixels,total_vegetation_area_m2,shape_geometry_area_m2,park_name,park_id,vegetation_categories_present
72,Brooklyn,129.0,129.0,22946.377967848563,,119.0,low_vegetation
73,Brooklyn,101.0,101.0,25228.362384634303,,119.0,low_vegetation
74,Brooklyn,1015.0,1015.0,12087.912461066697,,119.0,low_vegetation
75,Brooklyn,327.0,327.0,6741.159774209416,,119.0,low_vegetation
76,Brooklyn,366.0,366.0,25184.27025824509,,119.0,low_vegetation
77,Brooklyn,206.0,206.0,25064.963077988552,,119.0,low_vegetation
78,Brooklyn,192.0,192.0,8659.183749920829,,119.0,low_vegetation
79,Brooklyn,170.0,170.0,25207.01910404922,,119.0,low_vegetation
80,Brooklyn,451.0,451.0,25269.143400047928,,119.0,low_vegetation
81,Brooklyn,889.0,889.0,7960.413138672798,,119.0,low_vegetation
82,Brooklyn,70.0,70.0,24797.92248800812,,119.0,low_vegetation
83,Brooklyn,770.0,770.0,10429.498215918176,,119.0,low_vegetation
84,Brooklyn,237.0,237.0,25751.68306899226,,119.0,low_vegetation
85,Brooklyn,322.0,322.0,9635.453006790583,,119.0,low_vegetation
86,Brooklyn,459.0,459.0,8699.775438930208,,119.0,low_vegetation
87,Brooklyn,40.0,40.0,428.2314861203799,,119.0,low_vegetation
88,Brooklyn,432.0,432.0,26374.78534056272,,119.0,low_vegetation
89,Brooklyn,630.0,630.0,17188.639631639693,,119.0,low_vegetation
90,Brooklyn,294.0,294.0,23603.877174282305,,119.0,low_vegetation
91,Brooklyn,871.0,871.0,11427.25749264193,,119.0,low_vegetation
92,Brooklyn,406.0,406.0,25682.59450966302,,119.0,low_vegetation
93,Brooklyn,272.0,272.0,24911.16874394347,,119.0,low_vegetation
94,Brooklyn,553.0,553.0,11821.63712328767,,119.0,low_vegetation
95,Brooklyn,437.0,437.0,5943.620532500374,,119.0,low_vegetation
96,Brooklyn,48.0,48.0,24912.87649494897,,119.0,low_vegetation
97,Brooklyn,537.0,537.0,24489.53732558554,,119.0,low_vegetation
98,Brooklyn,509.0,509.0,9779.02158964429,,119.0,low_vegetation
99,Brooklyn,306.0,306.0,10945.95757808845,,119.0,low_vegetation
100,Brooklyn,164.0,164.0,24789.98230708132,,119.0,low_vegetation
101,Brooklyn,434.0,434.0,24507.93520154791,,119.0,low_vegetation
102,Brooklyn,198.0,198.0,5245.35111369513,,119.0,low_vegetation
103,Brooklyn,467.0,467.0,24670.746924090392,,119.0,low_vegetation
104,Brooklyn,363.0,363.0,5850.4915251081575,,119.0,low_vegetation
105,Brooklyn,198.0,198.0,23698.5953998464,,119.0,low_vegetation
106,Brooklyn,381.0,381.0,6315.230460160919,,119.0,low_vegetation
107,Brooklyn,822.0,822.0,5008.30860379645,,120.0,low_vegetation
108,Brooklyn,910.0,910.0,48663.82924419861,,121.0,low_vegetation
109,Brooklyn,255.0,255.0,5486.640436349028,,124.0,low_vegetation
110,Brooklyn,1793.0,1793.0,115471.48101304803,,130.0,low_vegetation
111,Brooklyn,2046.0,2046.0,51529.66736906549,,132.0,low_vegetation
112,Brooklyn,801.0,801.0,22058.06555993829,,132.0,low_vegetation
113,Brooklyn,601.0,601.0,28479.82321428301,,132.0,low_vegetation
114,Brooklyn,261.0,261.0,17039.131323247486,,132.0,low_vegetation
115,Brooklyn,102.0,102.0,2156.6844912681145,,134.0,low_vegetation
116,Brooklyn,868.0,868.0,3128.6246587953933,,135.0,low_vegetation
117,Brooklyn,308.0,308.0,4988.758319912231,,136.0,low_vegetation
118,Brooklyn,2142.0,2142.0,7413.452867537844,,141.0,low_vegetation
119,Brooklyn,692.0,692.0,866.5715661630056,,141.0,low_vegetation
120,Brooklyn,333.0,333.0,78510.25175384138,,142.0,low_vegetation
121,Brooklyn,332.0,332.0,4599.860913960676,,159.0,low_vegetation
122,Brooklyn,510.0,510.0,7498.503408270147,,160.0,low_vegetation
123,Brooklyn,1744.0,1744.0,29936.94711610281,,161.0,low_vegetation
124,Brooklyn,1219.0,1219.0,10187.63801944297,,167.0,low_vegetation
125,Brooklyn,1051.0,1051.0,31150.80748366839,,171.0,low_vegetation
126,Brooklyn,1683.0,1683.0,6187.482485370356,,172.0,low_vegetation
127,Brooklyn,60.0,60.0,2744.8302724741684,,177.0,low_vegetation
128,Brooklyn,523.0,523.0,2593.544129434579,,178.0,low_vegetation
129,Brooklyn,435.0,435.0,1723.265940481341,,179.0,low_vegetation
130,Brooklyn,660.0,660.0,6232.461508708485,,180.0,low_vegetation
131,Brooklyn,44.0,44.0,460.3297929992916,,182.0,low_vegetation
132,Brooklyn,8244.0,8244.0,111884.9347546156,,184.0,low_vegetation
133,Brooklyn,844.0,844.0,142663.29212227464,,185.0,low_vegetation
134,Brooklyn,1765.0,1765.0,10806.748862390918,,189.0,low_vegetation
135,Brooklyn,619.0,619.0,3483.779746853397,,190.0,low_vegetation
136,Brooklyn,12.0,12.0,2543.0168124602874,,191.0,low_vegetation
137,Brooklyn,0.0,0.0,33.37101482883021,,192.0,low_vegetation
138,Brooklyn,552.0,552.0,4894.647776628812,,194.0,low_vegetation
139,Brooklyn,29810.0,29810.0,217861.793881736,,201.0,low_vegetation
140,Brooklyn,10772.0,10772.0,282253.6113872476,,204.0,low_vegetation
141,Brooklyn,247.0,247.0,582.7604745679696,,208.0,low_vegetation
142,Brooklyn,633.0,633.0,47930.01094582101,,209.0,low_vegetation
143,Brooklyn,32767.0,32767.0,95992.56350148648,,212.0,low_vegetation
144,Brooklyn,466.0,466.0,32616.73668450911,,213.0,low_vegetation
