cluster_id,area_m2,radius_m,meets_threshold
0,13.25,100,False
1,2427639.5,100,True
2,17878.5,100,True
3,3057.1666666666665,100,False
4,40620.66666666666,100,True
5,18927.916666666664,100,True
6,2427639.5,100,True
7,2427639.5,100,True
8,2427639.5,100,True
9,2427639.5,100,True
10,2142.083333333333,100,False
11,0.0,100,False
12,2427639.5,100,True
13,2427639.5,100,True
14,2427639.5,100,True
15,2427639.5,100,True
16,2427639.5,100,True
17,2427639.5,100,True
18,2427639.5,100,True
19,2427639.5,100,True
20,2427639.5,100,True
21,3876.083333333333,100,True
22,1844.6666666666663,100,False
23,0.3333333333333333,100,False
24,278.66666666666663,100,False
25,2427639.5,100,True
26,2427639.5,100,True
27,2427639.5,100,True
28,2427639.5,100,True
29,2427639.5,100,True
30,2427639.5,100,True
31,575.0833333333333,100,False
32,2266.9166666666665,100,False
33,4056.083333333333,100,True
34,19664.33333333333,100,True
35,2427639.5,100,True
36,713.5,100,False
37,3992.1666666666665,100,True
38,1789.1666666666663,100,False
39,397.0833333333333,100,False
40,1055.25,100,False
41,591.9166666666666,100,False
42,997.0,100,False
43,8261.5,100,True
44,571.25,100,False
45,45770.08333333333,100,True
46,2427639.5,100,True
47,2427639.5,100,True
48,2427639.5,100,True
49,2427639.5,100,True
50,2427639.5,100,True
51,2427639.5,100,True
52,2427639.5,100,True
53,2427639.5,100,True
54,2427639.5,100,True
55,2427639.5,100,True
56,2427639.5,100,True
57,2427639.5,100,True
58,2427639.5,100,True
59,2427639.5,100,True
60,2427639.5,100,True
61,2427639.5,100,True
62,2427639.5,100,True
63,2427639.5,100,True
64,2427639.5,100,True
65,2427639.5,100,True
66,2427639.5,100,True
67,2427639.5,100,True
68,2427639.5,100,True
69,2427639.5,100,True
70,2427639.5,100,True
71,2427639.5,100,True
72,2427639.5,100,True
73,2427639.5,100,True
74,2427639.5,100,True
75,2427639.5,100,True
76,2427639.5,100,True
77,2427639.5,100,True
78,2427639.5,100,True
79,2427639.5,100,True
80,2427639.5,100,True
81,2427639.5,100,True
82,2427639.5,100,True
83,2427639.5,100,True
84,2427639.5,100,True
85,2427639.5,100,True
86,2427639.5,100,True
87,2427639.5,100,True
88,2427639.5,100,True
89,2427639.5,100,True
90,2427639.5,100,True
91,2427639.5,100,True
92,2427639.5,100,True
93,2427639.5,100,True
94,2427639.5,100,True
95,2427639.5,100,True
96,2427639.5,100,True
97,2427639.5,100,True
98,2427639.5,100,True
99,2427639.5,100,True
100,2427639.5,100,True
101,2427639.5,100,True
102,2427639.5,100,True
103,2427639.5,100,True
104,2427639.5,100,True
105,2427639.5,100,True
106,2427639.5,100,True
107,2427639.5,100,True
108,2427639.5,100,True
109,2427639.5,100,True
110,2427639.5,100,True
111,2427639.5,100,True
112,2427639.5,100,True
113,2427639.5,100,True
114,2427639.5,100,True
115,2427639.5,100,True
116,2427639.5,100,True
117,2427639.5,100,True
118,2427639.5,100,True
119,2427639.5,100,True
120,2427639.5,100,True
121,2427639.5,100,True
122,2427639.5,100,True
123,2427639.5,100,True
124,2427639.5,100,True
125,2427639.5,100,True
126,2427639.5,100,True
127,2427639.5,100,True
128,2427639.5,100,True
129,2427639.5,100,True
130,2427639.5,100,True
131,2427639.5,100,True
132,2427639.5,100,True
133,9803.25,100,True
134,3053.583333333333,100,False
135,38107.33333333333,100,True
136,3012.333333333333,100,False
137,127823.83333333331,100,True
138,1497.0,100,False
139,1041.5,100,False
140,7058.083333333333,100,True
141,147.58333333333331,100,False
142,2451.833333333333,100,False
143,244.3333333333333,100,False
144,8.333333333333332,100,False
145,1937.0833333333333,100,False
146,771.0,100,False
147,242.0,100,False
148,681.1666666666666,100,False
149,58730.5,100,True
150,63121684.166666664,100,True
151,263.3333333333333,100,False
152,131.83333333333331,100,False
153,68567.75,100,True
154,63124343.583333336,100,True
155,251.91666666666663,100,False
156,2427639.5,100,True
157,10102.75,100,True
158,46258.0,100,True
159,2427639.5,100,True
160,2427639.5,100,True
161,2427639.5,100,True
162,2427639.5,100,True
163,2427639.5,100,True
164,17873.166666666664,100,True
165,2427639.5,100,True
166,2427639.5,100,True
167,2427639.5,100,True
168,2427639.5,100,True
169,2427639.5,100,True
170,32784.666666666664,100,True
171,1441.6666666666663,100,False
172,360.4166666666666,100,False
173,2427639.5,100,True
174,3467.833333333333,100,False
175,2327.75,100,False
176,5258.666666666666,100,True
177,2427639.5,100,True
178,2427639.5,100,True
179,2427639.5,100,True
180,2427639.5,100,True
181,401.1666666666666,100,False
182,53.5,100,False
183,15.0,100,False
184,1387.5833333333333,100,False
185,693.0,100,False
186,133.25,100,False
187,58134.25,100,True
188,132929.41666666666,100,True
189,29810.666666666664,100,True
190,2174.4166666666665,100,False
191,28.25,100,False
192,890.1666666666666,100,False
193,0.0,100,False
194,72987.33333333333,100,True
195,6472.75,100,True
196,79124.08333333333,100,True
197,615.9166666666666,100,False
198,225031.3333333333,100,True
199,494.0,100,False
200,96522.58333333331,100,True
201,812.8333333333333,100,False
202,119.33333333333331,100,False
203,759.8333333333333,100,False
204,80.41666666666666,100,False
205,2796.333333333333,100,False
206,1090.0833333333333,100,False
207,73.91666666666666,100,False
208,1327.2499999999998,100,False
209,319.3333333333333,100,False
210,501.16666666666663,100,False
211,263.41666666666663,100,False
212,2319.5,100,False
213,721.4166666666666,100,False
214,0.0,100,False
215,1704.5,100,False
216,3474.333333333333,100,False
217,204.0,100,False
218,1187.3333333333333,100,False
219,481.75,100,False
220,4656.416666666666,100,True
221,2236.0,100,False
222,145.75,100,False
223,281334.5,100,True
224,676.25,100,False
225,372.5833333333333,100,False
226,64.75,100,False
227,0.0833333333333333,100,False
228,9899.833333333332,100,True
229,51.91666666666666,100,False
230,16.333333333333332,100,False
231,837.5,100,False
232,8453.416666666666,100,True
233,1454.1666666666663,100,False
234,44.83333333333333,100,False
235,8429.666666666666,100,True
236,7718.25,100,True
237,759.5,100,False
238,162.0,100,False
239,1663.5833333333333,100,False
240,2588.916666666666,100,False
241,458.0,100,False
242,263.75,100,False
243,0.0,100,False
244,10228.916666666666,100,True
245,1505.3333333333333,100,False
246,45.83333333333333,100,False
247,11139.5,100,True
248,54.58333333333333,100,False
249,411.5833333333333,100,False
250,3777.0,100,True
251,6418.333333333333,100,True
252,1804.1666666666663,100,False
253,1369.7499999999995,100,False
254,2706.5,100,False
255,6133.666666666666,100,True
256,5269.333333333333,100,True
257,4559.333333333333,100,True
258,7.833333333333333,100,False
259,91969.25,100,True
260,194.41666666666663,100,False
261,227708.41666666663,100,True
262,461.0,100,False
263,20574.08333333333,100,True
264,1530.4166666666663,100,False
265,800.7499999999999,100,False
266,129481.58333333331,100,True
267,7554.583333333333,100,True
268,9095.583333333332,100,True
269,3016.583333333333,100,False
270,39406.33333333333,100,True
271,816.25,100,False
272,49464.41666666666,100,True
273,4068.25,100,True
274,1055.6666666666663,100,False
275,71301.91666666666,100,True
276,7259.666666666666,100,True
277,9646.833333333332,100,True
278,2613.333333333333,100,False
279,8019.083333333333,100,True
280,53128.5,100,True
281,30459.25,100,True
282,1174289.9166666665,100,True
283,127241.49999999999,100,True
284,317038.3333333333,100,True
285,66551.25,100,True
286,6322.666666666666,100,True
287,125730.5,100,True
288,5462.249999999999,100,True
289,652.0833333333333,100,False
290,56.0,100,False
291,67.25,100,False
292,647.3333333333333,100,False
293,439.4166666666666,100,False
294,722.4166666666666,100,False
295,4137.416666666666,100,True
296,11188.083333333332,100,True
297,2570.833333333333,100,False
298,951.0833333333331,100,False
299,0.0,100,False
300,34.83333333333333,100,False
301,4.333333333333333,100,False
302,38.33333333333333,100,False
303,24034.25,100,True
304,3.1666666666666665,100,False
305,0.0,100,False
306,90557.5,100,True
307,42382.5,100,True
308,165.25,100,False
309,94.91666666666666,100,False
310,2.0,100,False
311,3.583333333333333,100,False
312,2974.9166666666665,100,False
313,96.5,100,False
314,589.5833333333333,100,False
315,0.0,100,False
316,1202.5833333333333,100,False
317,51803.58333333332,100,True
318,718.0833333333333,100,False
319,3338.833333333333,100,False
320,3016.6666666666665,100,False
321,7549.916666666666,100,True
322,0.0,100,False
323,2022.3333333333333,100,False
324,827.75,100,False
325,4779.833333333333,100,True
326,1135.9166666666663,100,False
327,255.0,100,False
328,43217.08333333333,100,True
329,253.5,100,False
330,2890.583333333333,100,False
331,1.75,100,False
332,858.6666666666666,100,False
333,9599.5,100,True
334,1613.0833333333333,100,False
335,108.5,100,False
336,71.25,100,False
337,663.25,100,False
338,294.0,100,False
339,1309.0833333333333,100,False
340,0.0,100,False
341,205.5,100,False
342,2736.9166666666665,100,False
343,300.16666666666663,100,False
344,531.6666666666666,100,False
345,127287.66666666666,100,True
346,69.33333333333333,100,False
347,2431.4166666666665,100,False
348,342.41666666666663,100,False
349,4014.1666666666665,100,True
350,2522.833333333333,100,False
351,2251.1666666666665,100,False
352,496.8333333333333,100,False
353,419.4166666666666,100,False
354,6738.0,100,True
355,5958.0,100,True
356,343.91666666666663,100,False
357,452.3333333333333,100,False
358,0.0,100,False
359,0.0,100,False
360,6023.583333333333,100,True
361,263.16666666666663,100,False
362,4364.416666666666,100,True
363,2777.583333333333,100,False
364,1653.0833333333333,100,False
365,10679.916666666666,100,True
366,460.4166666666666,100,False
367,199.0,100,False
368,3190.0833333333326,100,False
369,0.0,100,False
370,100.58333333333331,100,False
371,908.0,100,False
372,107.5,100,False
373,158.41666666666666,100,False
374,310.0,100,False
375,4696.25,100,True
376,370.5,100,False
377,43.25,100,False
378,77.58333333333333,100,False
379,88.83333333333331,100,False
380,18.58333333333333,100,False
381,138.58333333333331,100,False
382,193.3333333333333,100,False
383,199.16666666666663,100,False
384,34.416666666666664,100,False
385,127.5,100,False
386,759.9166666666665,100,False
387,28.33333333333333,100,False
388,240.0833333333333,100,False
389,4694.25,100,True
390,457.1666666666666,100,False
391,1780.5833333333333,100,False
392,2821.75,100,False
393,647.5,100,False
394,2022.0,100,False
395,337.25,100,False
396,57.916666666666664,100,False
397,4830.416666666666,100,True
398,8728.75,100,True
399,120.0,100,False
400,119.16666666666666,100,False
401,95.58333333333331,100,False
402,33.416666666666664,100,False
403,1165.0,100,False
404,91.5,100,False
405,1718.0,100,False
406,6298.083333333333,100,True
407,39646.75,100,True
408,1343.8333333333333,100,False
409,333.25,100,False
410,107.33333333333331,100,False
411,769.5,100,False
412,609.4166666666666,100,False
413,1225.0833333333333,100,False
414,15.25,100,False
415,1422.75,100,False
416,236.25,100,False
417,1512.6666666666667,100,False
418,562.5833333333333,100,False
419,1172.0,100,False
420,506.7499999999999,100,False
421,0.0,100,False
422,913.75,100,False
423,1670.0833333333333,100,False
424,9.416666666666666,100,False
425,1864.4999999999995,100,False
426,3459.4166666666665,100,False
427,1076.5833333333333,100,False
428,9115.5,100,True
429,23061.33333333333,100,True
430,642.6666666666666,100,False
431,971.3333333333331,100,False
432,81.0,100,False
433,841.8333333333333,100,False
434,682.9166666666666,100,False
435,1811.3333333333333,100,False
436,9874.75,100,True
437,658.6666666666666,100,False
438,6918.75,100,True
439,10134.75,100,True
440,68.83333333333333,100,False
441,1359.2499999999998,100,False
442,16.583333333333332,100,False
443,702.1666666666666,100,False
444,214.16666666666663,100,False
445,864.5,100,False
446,4310.5,100,True
447,415.4166666666666,100,False
448,2078.75,100,False
449,1061.9166666666663,100,False
450,522.0833333333333,100,False
451,829.75,100,False
452,1670.1666666666663,100,False
453,307.5,100,False
454,6320.083333333333,100,True
455,380.1666666666666,100,False
456,4027.2499999999995,100,True
457,926.9166666666665,100,False
458,26922.166666666664,100,True
459,135.49999999999997,100,False
460,1719.0,100,False
461,1248.1666666666663,100,False
462,5651.333333333333,100,True
463,1528.5833333333328,100,False
464,889.1666666666666,100,False
465,2427639.5,100,True
466,16130.416666666666,100,True
467,4.25,100,False
468,220.5,100,False
469,104.16666666666666,100,False
470,7923.0,100,True
471,13685.083333333332,100,True
472,2952.9166666666665,100,False
473,59.75,100,False
474,35576.083333333336,100,True
475,2448.6666666666665,100,False
476,121.58333333333331,100,False
477,761.6666666666666,100,False
478,2622.6666666666665,100,False
479,248.5833333333333,100,False
480,1269.4166666666667,100,False
481,253.24999999999994,100,False
482,150.33333333333331,100,False
483,2427639.5,100,True
484,68.33333333333333,100,False
485,294.41666666666663,100,False
486,1173.1666666666663,100,False
487,219.75,100,False
488,643.75,100,False
489,17472.583333333332,100,True
490,108.16666666666666,100,False
491,60.58333333333333,100,False
492,1145.25,100,False
493,3105.75,100,False
494,162277.0833333333,100,True
495,139.66666666666666,100,False
496,4133.5,100,True
497,202.25,100,False
498,21739.75,100,True
499,889.0,100,False
500,1094.6666666666663,100,False
501,4821.416666666666,100,True
502,2427639.5,100,True
503,62041.75,100,True
504,500.3333333333333,100,False
505,11972.916666666666,100,True
506,326.3333333333333,100,False
507,14319.916666666666,100,True
508,114.0,100,False
509,1048.25,100,False
510,660.25,100,False
511,943.0833333333331,100,False
512,324.8333333333333,100,False
513,1546.3333333333333,100,False
514,73211.5,100,True
515,45530.91666666666,100,True
516,2105.333333333333,100,False
517,532.3333333333333,100,False
518,8.5,100,False
519,1010.5,100,False
520,539584.9166666666,100,True
521,916.4166666666666,100,False
522,5944.833333333333,100,True
523,0.0,100,False
524,9625.25,100,True
525,42412.58333333333,100,True
526,1199.5,100,False
527,1370.9166666666663,100,False
528,425.5833333333333,100,False
529,1056.4166666666663,100,False
530,1017.5,100,False
531,1584.8333333333333,100,False
532,31754.33333333333,100,True
533,2255.333333333333,100,False
534,0.6666666666666666,100,False
535,178.83333333333331,100,False
536,52.5,100,False
537,1072.0833333333333,100,False
538,2444.833333333333,100,False
539,1058.5,100,False
540,2153.4166666666665,100,False
541,4917.666666666666,100,True
542,125514.5,100,True
543,4.166666666666666,100,False
544,2038.3333333333333,100,False
545,4103.083333333333,100,True
546,586.5,100,False
547,221.16666666666663,100,False
548,447.25,100,False
549,4780.416666666666,100,True
550,4566.0,100,True
551,12620.083333333332,100,True
552,51424.83333333333,100,True
553,4568.916666666666,100,True
554,178.25,100,False
555,8041.75,100,True
556,8655.916666666666,100,True
557,492.3333333333333,100,False
558,13473.666666666666,100,True
559,1240.1666666666663,100,False
560,94.0,100,False
561,517.4166666666666,100,False
562,1563.8333333333333,100,False
563,615350.1666666666,100,True
564,3614.333333333333,100,False
565,90251.5,100,True
566,9178.5,100,True
567,803.25,100,False
568,4551.25,100,True
569,293164.1666666666,100,True
570,18032.75,100,True
571,1532.5,100,False
572,2413.75,100,False
573,2427639.5,100,True
574,2427639.5,100,True
575,6.333333333333333,100,False
576,357371.1666666666,100,True
577,1879.4166666666663,100,False
578,523.5833333333333,100,False
579,1121.3333333333333,100,False
580,5833.25,100,True
581,9970.083333333332,100,True
582,22439.916666666664,100,True
583,44906.66666666666,100,True
584,55264.33333333333,100,True
585,121.0,100,False
586,2428803.25,100,True
587,89997.0,100,True
588,2427639.5,100,True
589,2427639.5,100,True
590,66001.83333333333,100,True
591,4535.0,100,True
592,78949.75,100,True
593,1463.25,100,False
594,0.0,100,False
595,2501.1666666666665,100,False
596,2427639.5,100,True
597,2427639.5,100,True
598,12716.333333333332,100,True
599,2541.4166666666665,100,False
600,2427639.5,100,True
601,2427639.5,100,True
602,2800.1666666666665,100,False
603,5294.0,100,True
604,569.8333333333333,100,False
605,3365.9166666666665,100,False
606,2620.0,100,False
607,887.5833333333333,100,False
608,4264.083333333333,100,True
609,504.8333333333333,100,False
610,2283.4999999999995,100,False
611,192426.25,100,True
612,2052.75,100,False
613,8948.583333333332,100,True
614,323.3333333333333,100,False
615,32.916666666666664,100,False
616,55914.41666666666,100,True
617,149.16666666666666,100,False
618,6650.666666666666,100,True
619,7591.416666666666,100,True
620,26258.75,100,True
621,21510.58333333333,100,True
622,2301.25,100,False
623,27901.166666666664,100,True
624,3798.333333333333,100,True
625,33858.75,100,True
626,1074.0,100,False
627,879.3333333333333,100,False
628,1312.4166666666663,100,False
629,2018.0833333333333,100,False
630,3711.1666666666665,100,True
631,1033833.0833333333,100,True
632,584.6666666666666,100,False
633,33673.58333333333,100,True
634,52.16666666666666,100,False
635,1346.8333333333333,100,False
636,542851.25,100,True
637,1359.8333333333333,100,False
638,164.91666666666663,100,False
639,1347.5,100,False
640,2312.9166666666665,100,False
641,912.6666666666666,100,False
642,340.75,100,False
643,625.4166666666666,100,False
644,5400.166666666666,100,True
645,2916.333333333333,100,False
646,1998.5,100,False
647,106.41666666666666,100,False
648,4.916666666666666,100,False
649,20.75,100,False
650,467.0833333333333,100,False
651,2458.083333333333,100,False
652,124.5,100,False
653,649.8333333333333,100,False
654,5126.249999999999,100,True
655,1897.6666666666665,100,False
656,323.0,100,False
657,4087.6666666666665,100,True
658,667.0,100,False
659,170.0,100,False
660,1457.5,100,False
661,3618.6666666666665,100,False
662,67.83333333333333,100,False
663,42.16666666666666,100,False
664,1914.1666666666663,100,False
665,260.66666666666663,100,False
666,5278.333333333333,100,True
667,36.58333333333333,100,False
668,286.8333333333333,100,False
669,17099.916666666664,100,True
670,4300.833333333333,100,True
671,87524.75,100,True
672,2223.9166666666665,100,False
673,51.66666666666666,100,False
674,192.8333333333333,100,False
675,42.58333333333333,100,False
676,151.08333333333331,100,False
677,3213.75,100,False
678,12443.666666666666,100,True
679,3341.333333333333,100,False
680,2170.4166666666665,100,False
681,8439.0,100,True
682,4171.166666666666,100,True
683,23376.08333333333,100,True
